221(),222(),301(C),303(C),304(C),305(C),306(C),308(C)
-3.203863E-03,+1.947233E+00,+2.688000E+01,+1.532700E+01,+1.361100E+01,+2.900600E+01,+1.906400E+01,+1.905300E+01
-6.965705E-03,+1.939786E+00,+2.687400E+01,+1.532600E+01,+1.361000E+01,+2.900400E+01,+1.906200E+01,+1.904800E+01
-5.693039E-03,+1.948544E+00,+2.687400E+01,+1.532500E+01,+1.361000E+01,+2.900400E+01,+1.906500E+01,+1.904900E+01
-5.159648E-03,+1.951589E+00,+2.687700E+01,+1.532600E+01,+1.360900E+01,+2.900300E+01,+1.906300E+01,+1.904800E+01
-6.189012E-03,+1.953322E+00,+2.687900E+01,+1.532500E+01,+1.361000E+01,+2.900400E+01,+1.906500E+01,+1.904800E+01
-5.290658E-03,+1.944282E+00,+2.687100E+01,+1.532400E+01,+1.360300E+01,+2.900300E+01,+1.906700E+01,+1.904600E+01
-4.579451E-03,+1.944189E+00,+2.687200E+01,+1.532300E+01,+1.360400E+01,+2.900200E+01,+1.906300E+01,+1.904600E+01
-6.305969E-03,+1.949903E+00,+2.687900E+01,+1.532100E+01,+1.359900E+01,+2.900600E+01,+1.906500E+01,+1.904500E+01
-3.110271E-03,+1.944610E+00,+2.687800E+01,+1.532000E+01,+1.359700E+01,+2.900100E+01,+1.906600E+01,+1.904600E+01
-6.680281E-03,+1.948591E+00,+2.688200E+01,+1.532000E+01,+1.360200E+01,+2.900300E+01,+1.906600E+01,+1.904900E+01
-1.002571E-02,+1.948170E+00,+2.688500E+01,+1.531900E+01,+1.360500E+01,+2.900400E+01,+1.906700E+01,+1.905000E+01
-6.507169E-03,+1.948732E+00,+2.688300E+01,+1.531800E+01,+1.359900E+01,+2.900800E+01,+1.906700E+01,+1.904900E+01
-8.781130E-03,+1.944516E+00,+2.689500E+01,+1.532000E+01,+1.360500E+01,+2.900900E+01,+1.906800E+01,+1.905200E+01
-5.108177E-03,+1.939552E+00,+2.690100E+01,+1.532000E+01,+1.360400E+01,+2.901100E+01,+1.907000E+01,+1.905100E+01
-7.747082E-03,+1.946203E+00,+2.689900E+01,+1.531700E+01,+1.360600E+01,+2.901400E+01,+1.907100E+01,+1.905000E+01
-5.997161E-03,+1.940395E+00,+2.690200E+01,+1.531700E+01,+1.360000E+01,+2.902200E+01,+1.907400E+01,+1.904800E+01
-5.108177E-03,+1.945828E+00,+2.691000E+01,+1.531700E+01,+1.360300E+01,+2.902200E+01,+1.907400E+01,+1.905000E+01
-1.575585E-03,+1.939786E+00,+2.691600E+01,+1.531800E+01,+1.360000E+01,+2.902500E+01,+1.907500E+01,+1.904900E+01
-4.584136E-03,+1.945922E+00,+2.692700E+01,+1.532000E+01,+1.360100E+01,+2.903500E+01,+1.907800E+01,+1.905100E+01
-1.617687E-03,+1.940863E+00,+2.692600E+01,+1.531700E+01,+1.360600E+01,+2.903500E+01,+1.907700E+01,+1.905300E+01
-7.223040E-03,+1.953322E+00,+2.693200E+01,+1.531900E+01,+1.360200E+01,+2.903900E+01,+1.908000E+01,+1.905200E+01
-5.112861E-03,+1.948732E+00,+2.694100E+01,+1.532100E+01,+1.360600E+01,+2.904100E+01,+1.908000E+01,+1.905400E+01
-3.999274E-03,+1.944938E+00,+2.695300E+01,+1.532600E+01,+1.361300E+01,+2.904300E+01,+1.908000E+01,+1.905400E+01
-3.821477E-03,+1.943627E+00,+2.696100E+01,+1.532800E+01,+1.361800E+01,+2.904700E+01,+1.908100E+01,+1.905700E+01
-4.855506E-03,+1.953182E+00,+2.697000E+01,+1.533100E+01,+1.362700E+01,+2.904800E+01,+1.908200E+01,+1.905800E+01
-4.560733E-03,+1.946390E+00,+2.698000E+01,+1.533200E+01,+1.362500E+01,+2.905100E+01,+1.908300E+01,+1.905900E+01
-2.866950E-03,+1.938615E+00,+2.698500E+01,+1.533300E+01,+1.363000E+01,+2.905800E+01,+1.908200E+01,+1.906100E+01
