"Store No.","Date","Time","Millisecond","V-1","A-1","W-1","VA-1","var-1","PF-1","deg-1","VHz-1","AHz-1","Wh-1","Wh+-1","TIME"
1,  2023/06/16,09:09:08,761,  220.14 ,   4.021 , 0.8743E+03, 0.8853E+03, 0.1394E+03,  0.9875 ,G    9.1 ,  59.964 ,   Error , 182.11E-03, 182.12E-03,     0:00:00
2,  2023/06/16,09:09:08,981,  220.13 ,   4.024 , 0.8749E+03, 0.8859E+03, 0.1386E+03,  0.9877 ,G    9.0 ,  59.968 ,   Error , 242.87E-03, 242.88E-03,     0:00:01
3,  2023/06/16,09:09:09,251,  219.79 ,   4.008 , 0.8709E+03, 0.8809E+03, 0.1325E+03,  0.9886 ,G    8.6 ,  59.964 ,   Error , 303.47E-03, 303.48E-03,     0:00:01
4,  2023/06/16,09:09:09,501,  220.12 ,   4.023 , 0.8745E+03, 0.8855E+03, 0.1395E+03,  0.9875 ,G    9.1 ,  59.964 ,   Error , 364.16E-03, 364.18E-03,     0:00:01
5,  2023/06/16,09:09:09,741,  220.02 ,   4.030 , 0.8759E+03, 0.8868E+03, 0.1388E+03,  0.9877 ,G    9.0 ,  59.964 ,   Error , 424.98E-03, 425.01E-03,     0:00:01
6,  2023/06/16,09:09:09,991,  219.76 ,   4.012 , 0.8718E+03, 0.8817E+03, 0.1318E+03,  0.9888 ,G    8.6 ,  59.966 ,   Error , 485.65E-03, 485.67E-03,     0:00:02
7,  2023/06/16,09:09:10,231,  220.06 ,   4.024 , 0.8745E+03, 0.8855E+03, 0.1389E+03,  0.9876 ,G    9.0 ,  59.966 ,   Error , 546.35E-03, 546.38E-03,     0:00:02
8,  2023/06/16,09:09:10,501,  220.22 ,   4.028 , 0.8760E+03, 0.8870E+03, 0.1390E+03,  0.9876 ,G    9.0 ,  59.968 ,   Error , 607.17E-03, 607.20E-03,     0:00:02
9,  2023/06/16,09:09:10,741,  219.73 ,   4.011 , 0.8713E+03, 0.8812E+03, 0.1320E+03,  0.9887 ,G    8.6 ,  59.964 ,   Error , 667.81E-03, 667.84E-03,     0:00:02
10,  2023/06/16,09:09:10,981,  220.09 ,   4.020 , 0.8738E+03, 0.8848E+03, 0.1391E+03,  0.9876 ,G    9.0 ,  59.962 ,   Error , 728.43E-03, 728.46E-03,     0:00:03
11,  2023/06/16,09:09:11,251,  220.07 ,   4.029 , 0.8756E+03, 0.8866E+03, 0.1387E+03,  0.9877 ,G    9.0 ,  59.966 ,   Error , 789.22E-03, 789.26E-03,     0:00:03
12,  2023/06/16,09:09:11,491,  219.74 ,   4.014 , 0.8721E+03, 0.8821E+03, 0.1327E+03,  0.9886 ,G    8.7 ,  59.964 ,   Error , 849.89E-03, 849.93E-03,     0:00:03
13,  2023/06/16,09:09:11,771,  219.83 ,   4.024 , 0.8737E+03, 0.8846E+03, 0.1389E+03,  0.9876 ,G    9.0 ,  59.964 ,   Error , 910.47E-03, 910.52E-03,     0:00:03
