221(),222(),301(C),303(C),304(C),305(C),306(C),308(C)
-7.583319E-03,+1.965594E+00,+2.673800E+01,+1.613700E+01,+1.452600E+01,+3.512700E+01,+2.406200E+01,+1.954500E+01
-7.789184E-03,+1.956554E+00,+2.673700E+01,+1.613500E+01,+1.452400E+01,+3.512900E+01,+2.406400E+01,+1.954200E+01
-2.993313E-03,+1.960441E+00,+2.674100E+01,+1.613400E+01,+1.452700E+01,+3.513200E+01,+2.406600E+01,+1.954600E+01
-5.112861E-03,+1.962268E+00,+2.674500E+01,+1.613700E+01,+1.452300E+01,+3.513500E+01,+2.406900E+01,+1.954800E+01
-6.245148E-03,+1.957772E+00,+2.674400E+01,+1.613500E+01,+1.452600E+01,+3.514000E+01,+2.406800E+01,+1.954800E+01
-7.368085E-03,+1.964985E+00,+2.673400E+01,+1.613200E+01,+1.452800E+01,+3.513800E+01,+2.406900E+01,+1.955000E+01
-3.723220E-03,+1.961004E+00,+2.674600E+01,+1.613600E+01,+1.452800E+01,+3.514400E+01,+2.406900E+01,+1.954900E+01
-3.026066E-03,+1.952573E+00,+2.674300E+01,+1.613600E+01,+1.452800E+01,+3.514500E+01,+2.406700E+01,+1.955000E+01
-4.331484E-03,+1.952057E+00,+2.674600E+01,+1.613900E+01,+1.452500E+01,+3.514800E+01,+2.407100E+01,+1.954700E+01
-5.468455E-03,+1.970606E+00,+2.674300E+01,+1.613400E+01,+1.452700E+01,+3.514800E+01,+2.407000E+01,+1.955100E+01
-7.704979E-03,+1.964470E+00,+2.674000E+01,+1.613600E+01,+1.452400E+01,+3.514800E+01,+2.407000E+01,+1.954800E+01
-6.212396E-03,+1.958896E+00,+2.674300E+01,+1.613200E+01,+1.452400E+01,+3.515000E+01,+2.407100E+01,+1.954800E+01
-5.323411E-03,+1.961097E+00,+2.674700E+01,+1.613600E+01,+1.452100E+01,+3.515200E+01,+2.407100E+01,+1.954500E+01
-8.439551E-03,+1.954587E+00,+2.675000E+01,+1.613500E+01,+1.452300E+01,+3.515200E+01,+2.407300E+01,+1.954500E+01
-4.630923E-03,+1.963954E+00,+2.674300E+01,+1.613300E+01,+1.452100E+01,+3.515100E+01,+2.407300E+01,+1.954400E+01
-5.964409E-03,+1.961847E+00,+2.673900E+01,+1.613100E+01,+1.452000E+01,+3.515100E+01,+2.407300E+01,+1.954600E+01
-2.703187E-03,+1.956788E+00,+2.674400E+01,+1.613400E+01,+1.452300E+01,+3.515200E+01,+2.407100E+01,+1.954400E+01
-4.499912E-03,+1.957819E+00,+2.674200E+01,+1.613200E+01,+1.452400E+01,+3.514900E+01,+2.406900E+01,+1.954600E+01
-4.017992E-03,+1.960676E+00,+2.674000E+01,+1.613300E+01,+1.452200E+01,+3.515300E+01,+2.406800E+01,+1.954700E+01
-8.762411E-03,+1.963954E+00,+2.673800E+01,+1.613500E+01,+1.452600E+01,+3.515300E+01,+2.406300E+01,+1.954700E+01
-8.626716E-03,+1.961613E+00,+2.674700E+01,+1.613400E+01,+1.452700E+01,+3.514900E+01,+2.406200E+01,+1.955100E+01
-9.543788E-03,+1.962362E+00,+2.674400E+01,+1.613400E+01,+1.453000E+01,+3.515100E+01,+2.406300E+01,+1.955100E+01
-6.834694E-03,+1.955852E+00,+2.674400E+01,+1.613300E+01,+1.453000E+01,+3.514800E+01,+2.406000E+01,+1.955200E+01
-5.674320E-03,+1.960020E+00,+2.674200E+01,+1.613600E+01,+1.452500E+01,+3.514800E+01,+2.405800E+01,+1.955100E+01
-7.517813E-03,+1.963439E+00,+2.673400E+01,+1.613500E+01,+1.452300E+01,+3.514800E+01,+2.405400E+01,+1.955400E+01
-9.319205E-03,+1.965453E+00,+2.674500E+01,+1.613400E+01,+1.452600E+01,+3.514500E+01,+2.405600E+01,+1.955100E+01
-7.316614E-03,+1.951917E+00,+2.673400E+01,+1.613200E+01,+1.452800E+01,+3.514700E+01,+2.405100E+01,+1.955400E+01
-8.360012E-03,+1.958474E+00,+2.674500E+01,+1.613500E+01,+1.452900E+01,+3.514800E+01,+2.405100E+01,+1.955200E+01
-8.289841E-03,+1.961847E+00,+2.673800E+01,+1.613500E+01,+1.452600E+01,+3.515200E+01,+2.404900E+01,+1.955300E+01
-6.684965E-03,+1.961800E+00,+2.673900E+01,+1.613600E+01,+1.452800E+01,+3.515200E+01,+2.404800E+01,+1.954700E+01
-8.551862E-03,+1.961659E+00,+2.673800E+01,+1.613200E+01,+1.452400E+01,+3.514800E+01,+2.404300E+01,+1.954600E+01
-8.832582E-03,+1.954680E+00,+2.673900E+01,+1.613400E+01,+1.452300E+01,+3.515100E+01,+2.404500E+01,+1.954300E+01
-9.033781E-03,+1.959786E+00,+2.673300E+01,+1.613500E+01,+1.452000E+01,+3.515200E+01,+2.404400E+01,+1.954100E+01
-6.226430E-03,+1.955852E+00,+2.673100E+01,+1.613100E+01,+1.451900E+01,+3.515100E+01,+2.404100E+01,+1.953700E+01
-7.246443E-03,+1.968498E+00,+2.673300E+01,+1.613100E+01,+1.451600E+01,+3.515100E+01,+2.403900E+01,+1.953400E+01
-5.276624E-03,+1.962784E+00,+2.673400E+01,+1.612700E+01,+1.451500E+01,+3.514800E+01,+2.403700E+01,+1.952900E+01
-6.591392E-03,+1.970606E+00,+2.673600E+01,+1.613000E+01,+1.451800E+01,+3.515300E+01,+2.403200E+01,+1.953400E+01
-8.341293E-03,+1.966531E+00,+2.673000E+01,+1.612700E+01,+1.451400E+01,+3.515100E+01,+2.403200E+01,+1.952700E+01
-8.729658E-03,+1.958990E+00,+2.674300E+01,+1.612900E+01,+1.451600E+01,+3.515000E+01,+2.402700E+01,+1.953000E+01
-6.699000E-03,+1.972058E+00,+2.673200E+01,+1.612400E+01,+1.451200E+01,+3.514700E+01,+2.402500E+01,+1.952700E+01
-8.378730E-03,+1.961191E+00,+2.673800E+01,+1.612900E+01,+1.451400E+01,+3.514400E+01,+2.402200E+01,+1.953000E+01
-9.450196E-03,+1.969013E+00,+2.673700E+01,+1.613000E+01,+1.451200E+01,+3.514200E+01,+2.401600E+01,+1.952800E+01
-3.428447E-03,+1.958381E+00,+2.674500E+01,+1.612800E+01,+1.451300E+01,+3.514400E+01,+2.401600E+01,+1.952800E+01
-7.821937E-03,+1.970325E+00,+2.673600E+01,+1.612700E+01,+1.451300E+01,+3.513900E+01,+2.401400E+01,+1.952900E+01
-8.481672E-03,+1.955430E+00,+2.674300E+01,+1.613100E+01,+1.451100E+01,+3.513600E+01,+2.400900E+01,+1.952700E+01
-1.019884E-02,+1.969013E+00,+2.674100E+01,+1.612900E+01,+1.450900E+01,+3.513400E+01,+2.400900E+01,+1.952900E+01
-9.132039E-03,+1.955852E+00,+2.674400E+01,+1.612700E+01,+1.451000E+01,+3.512900E+01,+2.400500E+01,+1.952800E+01
-8.186899E-03,+1.962268E+00,+2.674700E+01,+1.613100E+01,+1.451200E+01,+3.512700E+01,+2.400300E+01,+1.953200E+01
-4.523315E-03,+1.958240E+00,+2.674400E+01,+1.612900E+01,+1.451200E+01,+3.512800E+01,+2.400400E+01,+1.952900E+01
-5.257906E-03,+1.965313E+00,+2.673700E+01,+1.612800E+01,+1.451600E+01,+3.512500E+01,+2.399900E+01,+1.953100E+01
-6.820660E-03,+1.963533E+00,+2.675000E+01,+1.613000E+01,+1.451700E+01,+3.512000E+01,+2.400100E+01,+1.953100E+01
-4.775967E-03,+1.957772E+00,+2.674100E+01,+1.612900E+01,+1.451300E+01,+3.512600E+01,+2.399900E+01,+1.952800E+01
-5.547995E-03,+1.962362E+00,+2.674600E+01,+1.613100E+01,+1.451700E+01,+3.512700E+01,+2.400000E+01,+1.952900E+01
-6.642863E-03,+1.961238E+00,+2.675100E+01,+1.613100E+01,+1.451500E+01,+3.512700E+01,+2.399800E+01,+1.952900E+01
-6.937636E-03,+1.962456E+00,+2.675100E+01,+1.612900E+01,+1.451200E+01,+3.512400E+01,+2.399500E+01,+1.952600E+01
-9.922767E-03,+1.961051E+00,+2.674100E+01,+1.612900E+01,+1.451100E+01,+3.512300E+01,+2.399400E+01,+1.952600E+01
-8.767077E-03,+1.955008E+00,+2.674100E+01,+1.612800E+01,+1.450900E+01,+3.512600E+01,+2.399200E+01,+1.952500E+01
-4.532665E-03,+1.955570E+00,+2.674900E+01,+1.613100E+01,+1.451300E+01,+3.512400E+01,+2.399300E+01,+1.952500E+01
-9.744969E-03,+1.956273E+00,+2.674100E+01,+1.612700E+01,+1.450800E+01,+3.511900E+01,+2.399200E+01,+1.952200E+01
-6.235798E-03,+1.956460E+00,+2.674900E+01,+1.613000E+01,+1.451300E+01,+3.512400E+01,+2.398900E+01,+1.952500E+01
-4.368902E-03,+1.966765E+00,+2.674200E+01,+1.613000E+01,+1.450300E+01,+3.512100E+01,+2.398700E+01,+1.952300E+01
-6.638179E-03,+1.965219E+00,+2.673800E+01,+1.612700E+01,+1.450700E+01,+3.512100E+01,+2.398500E+01,+1.952700E+01
-6.942302E-03,+1.953182E+00,+2.674500E+01,+1.612800E+01,+1.450600E+01,+3.512000E+01,+2.398400E+01,+1.952700E+01
-5.627533E-03,+1.962924E+00,+2.674400E+01,+1.612500E+01,+1.450400E+01,+3.512100E+01,+2.398400E+01,+1.953000E+01
-1.109251E-02,+1.969528E+00,+2.675200E+01,+1.612700E+01,+1.451100E+01,+3.512000E+01,+2.398600E+01,+1.953300E+01
-2.937158E-03,+1.959692E+00,+2.674200E+01,+1.612800E+01,+1.450800E+01,+3.511700E+01,+2.398500E+01,+1.953600E+01
-1.453924E-03,+1.953603E+00,+2.674800E+01,+1.612900E+01,+1.451400E+01,+3.512000E+01,+2.398400E+01,+1.953900E+01
-5.959744E-03,+1.960816E+00,+2.674700E+01,+1.613100E+01,+1.451600E+01,+3.511900E+01,+2.398600E+01,+1.954400E+01
-5.009919E-03,+1.955055E+00,+2.673900E+01,+1.612800E+01,+1.451600E+01,+3.512100E+01,+2.398600E+01,+1.954500E+01
-6.642863E-03,+1.973510E+00,+2.674900E+01,+1.613100E+01,+1.452000E+01,+3.512300E+01,+2.398800E+01,+1.954900E+01
-4.439092E-03,+1.957069E+00,+2.673900E+01,+1.612700E+01,+1.452000E+01,+3.512200E+01,+2.398900E+01,+1.955300E+01
-5.926991E-03,+1.959083E+00,+2.674200E+01,+1.613100E+01,+1.452700E+01,+3.512000E+01,+2.399100E+01,+1.955800E+01
-4.635607E-03,+1.959318E+00,+2.674500E+01,+1.613500E+01,+1.452900E+01,+3.512300E+01,+2.399200E+01,+1.956000E+01
-4.354868E-03,+1.961285E+00,+2.674100E+01,+1.613400E+01,+1.453000E+01,+3.511600E+01,+2.399200E+01,+1.956400E+01
-1.940528E-03,+1.956648E+00,+2.674000E+01,+1.613200E+01,+1.452700E+01,+3.511700E+01,+2.399000E+01,+1.956400E+01
-4.790002E-03,+1.955477E+00,+2.674000E+01,+1.613100E+01,+1.453200E+01,+3.511400E+01,+2.399100E+01,+1.956300E+01
-7.040560E-03,+1.961238E+00,+2.674700E+01,+1.613300E+01,+1.453000E+01,+3.511600E+01,+2.399300E+01,+1.956200E+01
-6.984423E-03,+1.957819E+00,+2.674200E+01,+1.613200E+01,+1.452800E+01,+3.511100E+01,+2.399000E+01,+1.956100E+01
-4.523315E-03,+1.960582E+00,+2.673800E+01,+1.613400E+01,+1.453000E+01,+3.511000E+01,+2.398900E+01,+1.955800E+01
-5.833399E-03,+1.951870E+00,+2.674100E+01,+1.613300E+01,+1.452200E+01,+3.511000E+01,+2.399000E+01,+1.955400E+01
-6.020565E-03,+1.953931E+00,+2.674100E+01,+1.613000E+01,+1.452200E+01,+3.510900E+01,+2.399100E+01,+1.955000E+01
-4.499912E-03,+1.968638E+00,+2.674200E+01,+1.613200E+01,+1.452300E+01,+3.510800E+01,+2.398700E+01,+1.954500E+01
-6.918918E-03,+1.969247E+00,+2.673900E+01,+1.612900E+01,+1.451800E+01,+3.510500E+01,+2.398600E+01,+1.954200E+01
-5.126895E-03,+1.957210E+00,+2.674300E+01,+1.613000E+01,+1.451400E+01,+3.510500E+01,+2.398500E+01,+1.953900E+01
-6.418261E-03,+1.956085E+00,+2.674000E+01,+1.612800E+01,+1.451400E+01,+3.510900E+01,+2.398500E+01,+1.953200E+01
-7.503779E-03,+1.969154E+00,+2.673400E+01,+1.612900E+01,+1.451300E+01,+3.510500E+01,+2.398400E+01,+1.953100E+01
