221(),222(),301(C),303(C),304(C),305(C),306(C),308(C)
+3.523346E-02,+2.752062E+00,+2.658000E+01,+1.819000E+01,+1.485600E+01,+3.393500E+01,+2.482200E+01,+1.925900E+01
+3.739050E-02,+2.745879E+00,+2.657600E+01,+1.808000E+01,+1.480000E+01,+3.397900E+01,+2.483300E+01,+1.923700E+01
+3.890647E-02,+2.760071E+00,+2.656800E+01,+1.796900E+01,+1.475600E+01,+3.402100E+01,+2.483700E+01,+1.921000E+01
+4.005748E-02,+2.759650E+00,+2.658100E+01,+1.786900E+01,+1.469900E+01,+3.406300E+01,+2.484700E+01,+1.919400E+01
+3.474686E-02,+2.768690E+00,+2.656500E+01,+1.777000E+01,+1.465900E+01,+3.410000E+01,+2.485400E+01,+1.917000E+01
+3.204711E-02,+2.756277E+00,+2.657600E+01,+1.768200E+01,+1.460800E+01,+3.414100E+01,+2.486100E+01,+1.915100E+01
+3.851810E-02,+2.757636E+00,+2.657700E+01,+1.759500E+01,+1.457200E+01,+3.418000E+01,+2.486800E+01,+1.912600E+01
+3.280042E-02,+2.760633E+00,+2.657600E+01,+1.750800E+01,+1.452700E+01,+3.421700E+01,+2.487400E+01,+1.910700E+01
+3.382044E-02,+2.764568E+00,+2.657200E+01,+1.743400E+01,+1.449200E+01,+3.425700E+01,+2.487700E+01,+1.908300E+01
+3.812509E-02,+2.747519E+00,+2.658300E+01,+1.735600E+01,+1.445400E+01,+3.429300E+01,+2.488300E+01,+1.906900E+01
+3.505098E-02,+2.765270E+00,+2.657900E+01,+1.728400E+01,+1.441900E+01,+3.433000E+01,+2.488500E+01,+1.905000E+01
+4.045051E-02,+2.758010E+00,+2.658500E+01,+1.720900E+01,+1.437600E+01,+3.436600E+01,+2.488800E+01,+1.903100E+01
+3.699279E-02,+2.757214E+00,+2.658700E+01,+1.714600E+01,+1.434900E+01,+3.440200E+01,+2.488800E+01,+1.901000E+01
+3.622070E-02,+2.746488E+00,+2.658800E+01,+1.707600E+01,+1.430400E+01,+3.444300E+01,+2.488900E+01,+1.899300E+01
+3.460181E-02,+2.768502E+00,+2.659200E+01,+1.702000E+01,+1.426900E+01,+3.447700E+01,+2.488900E+01,+1.897100E+01
+3.541126E-02,+2.757823E+00,+2.658600E+01,+1.696000E+01,+1.424300E+01,+3.450500E+01,+2.488400E+01,+1.895700E+01
+3.545336E-02,+2.755856E+00,+2.659800E+01,+1.690700E+01,+1.420700E+01,+3.454100E+01,+2.488500E+01,+1.894200E+01
+3.408246E-02,+2.766769E+00,+2.659800E+01,+1.684800E+01,+1.417900E+01,+3.457400E+01,+2.488100E+01,+1.891900E+01
+3.559842E-02,+2.762460E+00,+2.660200E+01,+1.680300E+01,+1.414500E+01,+3.460600E+01,+2.487900E+01,+1.890600E+01
